player_id,player_name,height,hand,avg_minutes,avg_aces,avg_df,avg_svpt,avg_first_in,avg_first_won,avg_second_won,avg_sv_gms,avg_bp_saved,avg_bp_faced,Wins,Losses,Matches_Played,Win_Pct,titles_won
105683,Milos Raonic,196,R,109.32,15.68,3.53,77.32,49.05,40.03,15.91,13.15,2.45,3.58,211,107,318,66.35,1
105688,Manuel Sanchez,183,R,98.83,3.33,5.67,70.33,43.33,30.17,12.5,10.67,4.33,7.17,5,3,8,62.5,
105692,Alessandro Bega,173,R,104.0,4.0,3.0,70.0,47.0,33.0,9.0,12.0,1.0,5.0,0,1,1,0.0,
105723,Andrey Kuznetsov,183,R,100.82,5.14,3.12,78.06,44.25,32.25,17.1,12.37,3.8,6.6,55,59,114,48.25,
105731,Steven Diez,175,R,101.14,1.57,2.5,72.0,45.79,28.0,12.5,10.5,4.36,7.93,2,12,14,14.29,
105732,Pierre Hugues Herbert,188,R,112.55,8.36,4.02,85.42,50.96,37.39,17.26,13.2,4.16,6.72,95,114,209,45.45,
105733,Rhyne Williams,185,R,65.0,3.0,4.0,50.0,31.0,20.0,5.0,8.0,1.0,5.0,0,1,1,0.0,
105738,Tsung Hua Yang,178,R,106.0,10.0,4.0,75.0,48.0,35.0,12.0,12.0,3.0,6.0,1,1,2,50.0,
105747,Karim Mohamed Maamoun,175,R,103.0,2.0,4.5,71.67,41.33,25.5,12.67,10.5,5.5,10.0,3,6,9,33.33,
105751,Roberto Ortega Olmedo,168,R,59.0,3.0,2.0,60.0,31.0,21.0,17.0,9.0,7.0,9.0,0,1,1,0.0,
105757,Sandro Ehrat,180,R,126.0,5.25,0.5,85.5,50.5,36.75,17.25,13.25,3.5,6.25,1,4,5,20.0,
105777,Grigor Dimitrov,191,R,116.48,6.85,3.69,80.86,50.66,38.1,15.4,12.94,3.84,6.03,327,198,525,62.29,5
105790,Yong Kyu Lim,185,R,158.0,12.0,5.5,127.0,75.0,53.0,28.5,19.0,8.0,12.0,2,1,3,66.67,
105806,Mirza Basic,188,R,101.3,5.91,2.02,81.49,47.88,33.61,17.49,12.58,4.44,7.32,29,37,66,43.94,1
105807,Pablo Carreno Busta,188,R,110.82,4.13,1.83,79.42,52.37,36.47,14.33,12.45,4.2,6.67,257,188,445,57.75,7
105815,Tennys Sandgren,188,R,114.8,8.63,2.71,84.34,51.37,37.54,15.97,13.11,4.38,7.13,47,76,123,38.21,1
105819,Guido Andreozzi,183,R,116.38,3.82,4.64,81.67,49.67,33.9,14.87,12.38,5.23,8.72,12,27,39,30.769999999999996,
105827,Laurynas Grigelis,183,R,118.6,8.4,3.33,90.07,57.07,41.73,16.87,14.53,4.73,7.6,9,12,21,42.86,
105841,Lorenzo Giustino,180,R,121.0,2.62,3.75,85.12,50.12,29.88,15.25,13.12,4.5,10.38,1,7,8,12.5,
105842,Di Wu,175,R,97.8,2.9,2.2,80.1,49.25,31.15,14.4,11.85,5.5,9.55,8,17,25,32.0,
105853,Tigre Hank,188,L,79.5,0.5,2.5,60.5,40.5,22.0,7.0,9.0,4.5,9.0,0,5,5,0.0,
105870,Yannick Hanfmann,193,R,112.32,4.78,1.89,76.61,50.16,34.51,13.56,11.95,3.99,6.58,74,79,153,48.370000000000005,
105871,Sekou Bangoura,183,R,68.0,5.0,6.0,60.0,40.0,34.0,10.0,11.0,0.0,1.0,0,1,1,0.0,
105872,Christian Lindell,193,R,101.0,4.25,3.0,71.0,44.75,31.5,11.0,11.75,3.0,6.5,3,5,8,37.5,
105874,Albano Olivetti,203,R,242.0,56.0,17.0,218.0,128.0,108.0,54.0,35.0,11.0,13.0,0,1,1,0.0,
105877,Emilio Gomez,185,R,114.44,3.68,2.68,81.44,50.21,34.76,14.0,12.24,4.65,8.24,17,26,43,39.53,
105881,Matthew Barton,191,R,110.5,14.62,4.12,98.12,59.62,48.5,18.5,15.25,4.0,5.5,4,4,8,50.0,
105882,Stefano Travaglia,185,R,114.74,7.23,3.43,85.33,47.24,34.11,18.23,13.0,4.13,7.37,29,55,84,34.52,
105888,Toni Androic,168,R,127.0,2.0,2.0,105.0,54.0,36.0,27.0,14.0,5.0,8.0,0,2,2,0.0,
105899,Martin Cuevas,191,R,101.0,5.67,3.5,81.33,49.17,33.67,14.67,11.17,6.5,9.5,3,10,13,23.080000000000002,
105902,James Duckworth,183,R,114.68,7.84,2.75,86.96,49.18,35.76,19.4,13.27,4.79,7.46,59,91,150,39.33,
105905,Danilo Petrovic,203,R,94.0,5.8,4.4,73.0,44.8,28.6,11.0,9.6,8.4,12.2,2,3,5,40.0,
105906,Kevin Krawietz,188,R,72.5,6.5,3.0,67.5,43.5,35.0,11.5,10.5,3.5,4.0,1,2,3,33.33,
105911,Andrea Collarini,183,L,79.5,0.0,2.0,56.0,38.0,21.5,8.0,9.0,2.5,6.5,0,2,2,0.0,
105916,Marton Fucsovics,188,R,124.2,4.52,3.46,84.53,49.49,34.72,17.94,13.02,4.59,7.56,156,158,314,49.68,2
105917,Gianni Mina,185,R,63.5,3.5,1.0,38.5,23.0,20.5,8.0,7.0,1.5,2.0,1,1,2,50.0,
105932,Nikoloz Basilashvili,185,R,103.17,4.01,4.4,80.72,47.65,32.26,16.24,12.25,4.45,7.76,146,171,317,46.06,5
105933,Roberto Quiroz,193,L,112.44,5.62,1.94,84.0,53.31,38.81,16.81,13.31,3.5,5.56,8,11,19,42.11,
105936,Filip Krajinovic,185,R,107.43,4.61,1.91,78.86,50.63,34.52,14.41,12.17,4.52,7.41,114,119,233,48.93,
105938,Antoine Escoffier,185,R,98.0,8.0,7.0,73.0,45.0,26.0,12.0,11.0,2.0,7.0,0,1,1,0.0,
105943,Federico Gaio,178,R,106.83,5.0,4.56,77.72,42.89,30.06,16.78,11.94,5.17,8.56,3,15,18,16.669999999999998,
105948,Federico Coria,180,R,112.0,2.58,2.46,76.69,50.99,32.06,12.43,11.69,4.88,8.69,53,74,127,41.730000000000004,
105952,Renzo Olivo,178,R,116.92,3.3,4.98,84.28,50.02,33.02,16.19,12.53,5.36,9.32,21,32,53,39.62,
105954,Peter Nagy,180,R,146.67,1.0,3.67,101.67,59.33,32.33,21.33,17.0,6.33,14.0,3,4,7,42.86,
105960,Evan King,185,L,118.5,1.75,2.75,83.25,54.5,35.5,15.75,13.25,2.75,6.0,1,3,4,25.0,
105963,Arthur De Greef,183,R,105.6,4.3,2.7,79.1,46.2,30.4,15.8,12.4,4.6,8.1,3,7,10,30.0,
105967,Henri Laaksonen,185,R,110.7,6.4,3.81,84.29,49.57,35.32,17.05,12.93,4.51,7.59,44,66,110,40.0,
105985,Darian King,188,R,99.04,1.7,2.3,69.63,45.37,28.7,11.93,10.67,4.44,7.78,24,16,40,60.0,
105992,Ryan Harrison,185,R,105.68,7.93,3.3,79.94,47.43,34.91,16.67,12.54,4.23,6.61,62,72,134,46.27,1
106000,Damir Dzumhur,175,R,101.95,2.44,2.71,77.92,50.44,32.76,13.66,12.05,4.46,7.97,119,135,254,46.85,3
106005,Constant Lestienne,180,R,111.21,4.14,3.3,79.33,48.54,32.04,13.54,11.88,4.96,8.89,17,42,59,28.810000000000002,
106006,Agustin Velotti,174,R,90.0,4.5,2.0,69.0,36.0,24.0,16.5,11.0,3.0,6.0,0,2,2,0.0,
106021,Dragos Dima,180,R,60.0,1.0,1.0,47.0,25.0,18.0,13.0,8.0,2.0,3.0,2,0,2,100.0,
106026,Yuki Bhambri,185,R,109.68,2.35,3.55,84.19,54.55,35.29,14.29,12.52,4.71,8.26,16,24,40,40.0,
106031,Raymond Sarmiento,178,R,85.0,2.0,3.0,69.0,37.0,18.0,16.0,10.0,4.0,9.0,0,1,1,0.0,
106032,Facundo Arguello,178,R,78.56,1.78,2.11,58.67,37.89,22.56,9.44,9.33,2.56,6.11,1,8,9,11.110000000000001,
106033,Romain Arneodo,175,R,168.0,6.0,4.0,136.5,84.5,60.5,25.0,18.5,10.5,13.5,3,3,6,50.0,
106034,Yasutaka Uchiyama,183,R,112.86,7.24,2.27,79.92,49.05,35.57,15.62,12.73,4.16,6.84,12,27,39,30.769999999999996,
106035,Isak Arvidsson,188,R,131.8,7.6,7.0,102.2,55.4,36.4,20.6,14.8,8.2,13.6,1,4,5,20.0,
106043,Diego Schwartzman,170,R,116.1,1.96,2.94,78.54,49.72,32.66,14.34,12.1,4.5,7.86,247,217,464,53.23,4
106044,Nicolas Kicker,178,R,105.83,2.26,2.6,76.53,48.11,31.74,14.57,11.96,4.36,7.53,19,29,48,39.58,
106045,Denis Kudla,180,R,108.91,6.09,3.35,81.46,47.47,33.41,16.96,12.88,3.96,7.13,59,107,166,35.54,
106057,Facundo Mena,183,R,126.0,3.0,2.0,71.0,38.0,30.0,16.0,10.0,5.0,7.0,0,1,1,0.0,
106058,Jack Sock,191,R,116.17,6.75,4.26,85.28,50.63,37.11,18.0,13.44,3.99,6.47,139,111,250,55.60000000000001,3
106065,Marco Cecchinato,185,R,104.23,4.3,2.55,79.56,52.27,35.48,13.42,12.16,4.16,7.18,80,123,203,39.410000000000004,3
106071,Bernard Tomic,196,R,98.3,8.77,1.9,85.28,56.32,40.43,14.17,12.95,4.54,6.97,97,96,193,50.260000000000005,1
106072,Alexey Vatutin,178,R,111.89,1.0,3.44,84.44,52.33,30.67,14.67,12.33,4.0,9.0,2,7,9,22.220000000000002,
106075,Jozef Kovalik,183,R,113.39,3.44,2.73,82.14,50.48,33.71,15.74,12.51,4.83,8.12,28,53,81,34.57,
106078,Egor Gerasimov,196,R,110.78,7.7,3.56,82.83,53.62,38.55,13.97,12.82,4.04,6.75,59,54,113,52.21,
106085,Hamid Reza Nadaf,183,R,100.0,3.0,5.0,68.0,44.0,21.0,12.0,7.0,9.0,13.0,1,1,2,50.0,
106093,Benjamin Mitchell,183,R,79.0,4.0,3.0,59.0,37.0,24.0,10.0,9.0,5.0,8.0,0,1,1,0.0,
106099,Salvatore Caruso,185,R,118.86,3.32,2.78,81.65,48.65,31.78,16.21,12.27,5.17,8.81,19,44,63,30.159999999999997,
106105,Guilherme Clezar,183,R,123.9,5.8,3.4,88.5,55.1,35.5,14.2,13.3,5.6,10.3,1,9,10,10.0,
106106,George Tsivadze,191,L,99.4,1.6,4.0,90.2,55.4,30.6,13.4,12.6,7.8,14.2,1,6,7,14.29,
106109,Alex Bolt,183,L,109.19,7.31,2.83,83.48,50.33,35.23,16.65,13.23,4.44,7.69,17,31,48,35.42,
106110,Filip Horansky,175,R,88.55,2.73,1.82,70.91,45.18,28.64,13.0,11.0,3.09,6.55,2,9,11,18.18,
106120,Ricardo Ojeda Lara,180,R,85.17,1.17,0.67,67.17,46.0,27.67,11.17,9.67,3.83,6.67,3,3,6,50.0,
